
  Status      Error       Time    Gflop/s   House.mode       m       n    nb    ib  padA
      --         --     0.2337   365.3473            f    4000    4000   160    40     0
      --         --     0.2335   365.5444            f    4000    4000   160    40     0
      --         --     0.2339   364.9086            f    4000    4000   160    40     0

      --         --     0.2428   351.5257            f    4000    4000   168    42     0
      --         --     0.2433   350.9328            f    4000    4000   168    42     0
      --         --     0.2455   347.6650            f    4000    4000   168    42     0

      --         --     0.2290   372.7428            f    4000    4000   176    44     0
      --         --     0.2293   372.3141            f    4000    4000   176    44     0
      --         --     0.2295   371.9094            f    4000    4000   176    44     0

      --         --     0.2387   357.6166            f    4000    4000   184    46     0
      --         --     0.2428   351.6551            f    4000    4000   184    46     0
      --         --     0.2382   358.4313            f    4000    4000   184    46     0

      --         --     0.2277   374.9149            f    4000    4000   192    48     0
      --         --     0.2282   374.0657            f    4000    4000   192    48     0
      --         --     0.2275   375.1625            f    4000    4000   192    48     0

      --         --     0.2347   363.6983            f    4000    4000   200    50     0
      --         --     0.2351   363.1571            f    4000    4000   200    50     0
      --         --     0.2353   362.7593            f    4000    4000   200    50     0

      --         --     0.2352   362.9833            f    4000    4000   208    52     0
      --         --     0.2355   362.4697            f    4000    4000   208    52     0
      --         --     0.2337   365.3439            f    4000    4000   208    52     0

      --         --     0.2404   355.1694            f    4000    4000   216    54     0
      --         --     0.2409   354.4038            f    4000    4000   216    54     0
      --         --     0.2402   355.3799            f    4000    4000   216    54     0

      --         --     0.2294   372.1311            f    4000    4000   224    56     0
      --         --     0.2282   374.0897            f    4000    4000   224    56     0
      --         --     0.2307   370.0672            f    4000    4000   224    56     0

      --         --     0.2437   350.3050            f    4000    4000   232    58     0
      --         --     0.2410   354.1979            f    4000    4000   232    58     0
      --         --     0.2435   350.5214            f    4000    4000   232    58     0

      --         --     0.2303   370.6024            f    4000    4000   240    60     0
      --         --     0.2288   373.0483            f    4000    4000   240    60     0
      --         --     0.2275   375.3119            f    4000    4000   240    60     0

      --         --     0.2438   350.1565            f    4000    4000   248    62     0
      --         --     0.2439   349.9716            f    4000    4000   248    62     0
      --         --     0.2433   350.8468            f    4000    4000   248    62     0

      --         --     0.2511   339.9585            f    4000    4000   256    64     0
      --         --     0.2524   338.2602            f    4000    4000   256    64     0
      --         --     0.2503   341.1171            f    4000    4000   256    64     0

      --         --     0.2537   336.5320            f    4000    4000   264    66     0
      --         --     0.2530   337.4428            f    4000    4000   264    66     0
      --         --     0.2535   336.7932            f    4000    4000   264    66     0

      --         --     0.2413   353.8202            f    4000    4000   272    68     0
      --         --     0.2435   350.5529            f    4000    4000   272    68     0
      --         --     0.2419   352.8229            f    4000    4000   272    68     0

      --         --     0.2586   330.1142            f    4000    4000   280    70     0
      --         --     0.2584   330.3223            f    4000    4000   280    70     0
      --         --     0.2588   329.8667            f    4000    4000   280    70     0

      --         --     0.2482   343.9114            f    4000    4000   288    72     0
      --         --     0.2442   349.5704            f    4000    4000   288    72     0
      --         --     0.2449   348.5406            f    4000    4000   288    72     0

      --         --     0.2563   333.0252            f    4000    4000   296    74     0
      --         --     0.2578   331.0761            f    4000    4000   296    74     0
      --         --     0.2586   330.0716            f    4000    4000   296    74     0

      --         --     0.2622   325.5205            f    4000    4000   304    76     0
      --         --     0.2614   326.5201            f    4000    4000   304    76     0
      --         --     0.2648   322.4074            f    4000    4000   304    76     0

      --         --     0.2663   320.5195            f    4000    4000   312    78     0
      --         --     0.2633   324.2399            f    4000    4000   312    78     0
      --         --     0.2643   322.9586            f    4000    4000   312    78     0

      --         --     0.2701   316.0775            f    4000    4000   320    80     0
      --         --     0.2680   318.5513            f    4000    4000   320    80     0
      --         --     0.2720   313.8932            f    4000    4000   320    80     0

      --         --     0.2780   307.0761            f    4000    4000   328    82     0
      --         --     0.2775   307.5920            f    4000    4000   328    82     0
      --         --     0.2823   302.4254            f    4000    4000   328    82     0

      --         --     0.2730   312.6752            f    4000    4000   336    84     0
      --         --     0.2716   314.2576            f    4000    4000   336    84     0
      --         --     0.2720   313.8451            f    4000    4000   336    84     0

      --         --     0.2894   294.9858            f    4000    4000   344    86     0
      --         --     0.2859   298.5721            f    4000    4000   344    86     0
      --         --     0.2890   295.4258            f    4000    4000   344    86     0

      --         --     0.2905   293.8464            f    4000    4000   352    88     0
      --         --     0.2993   285.2396            f    4000    4000   352    88     0
      --         --     0.2898   294.6010            f    4000    4000   352    88     0

      --         --     0.3019   282.7975            f    4000    4000   360    90     0
      --         --     0.3015   283.1812            f    4000    4000   360    90     0
      --         --     0.3015   283.1247            f    4000    4000   360    90     0

      --         --     0.3000   284.5558            f    4000    4000   368    92     0
      --         --     0.2986   285.8554            f    4000    4000   368    92     0
      --         --     0.2978   286.6825            f    4000    4000   368    92     0

