
  Status      Error       Time    Gflop/s       m       n    nb    ib  padA  mtpf  zerocol
      --         --     0.0488   109.1456    2000    2000   336    16     0     8       -1

      --         --     0.0419   127.2000    2000    2000   344    16     0     8       -1
      --         --     0.0425   125.3156    2000    2000   344    16     0     8       -1
      --         --     0.0454   117.3339    2000    2000   344    16     0     8       -1

      --         --     0.0474   112.4820    2000    2000   352    16     0     8       -1
      --         --     0.0431   123.8363    2000    2000   352    16     0     8       -1
      --         --     0.0435   122.4672    2000    2000   352    16     0     8       -1

      --         --     0.0467   114.1340    2000    2000   360    16     0     8       -1
      --         --     0.0490   108.8035    2000    2000   360    16     0     8       -1
      --         --     0.0442   120.5895    2000    2000   360    16     0     8       -1

      --         --     0.0442   120.6112    2000    2000   368    16     0     8       -1
      --         --     0.0453   117.5809    2000    2000   368    16     0     8       -1
      --         --     0.0425   125.3235    2000    2000   368    16     0     8       -1

      --         --     0.0477   111.7913    2000    2000   376    16     0     8       -1
      --         --     0.0462   115.5057    2000    2000   376    16     0     8       -1
      --         --     0.0523   101.8403    2000    2000   376    16     0     8       -1

      --         --     0.0446   119.6611    2000    2000   384    16     0     8       -1
      --         --     0.0465   114.5938    2000    2000   384    16     0     8       -1
      --         --     0.0465   114.6645    2000    2000   384    16     0     8       -1

      --         --     0.0502   106.1943    2000    2000   392    16     0     8       -1
      --         --     0.0493   108.2259    2000    2000   392    16     0     8       -1
      --         --     0.0500   106.7144    2000    2000   392    16     0     8       -1

      --         --     0.0458   116.3375    2000    2000   400    16     0     8       -1
      --         --     0.0468   113.8970    2000    2000   400    16     0     8       -1
      --         --     0.0456   116.8917    2000    2000   400    16     0     8       -1

      --         --     0.0483   110.3896    2000    2000   408    16     0     8       -1
      --         --     0.0468   113.8775    2000    2000   408    16     0     8       -1
      --         --     0.0496   107.4649    2000    2000   408    16     0     8       -1

      --         --     0.0574    92.9532    2000    2000   416    16     0     8       -1
      --         --     0.0500   106.5344    2000    2000   416    16     0     8       -1
      --         --     0.0469   113.5568    2000    2000   416    16     0     8       -1

      --         --     0.0539    98.8942    2000    2000   424    16     0     8       -1
      --         --     0.0497   107.2478    2000    2000   424    16     0     8       -1
      --         --     0.0494   107.9060    2000    2000   424    16     0     8       -1

      --         --     0.0476   111.9151    2000    2000   432    16     0     8       -1
      --         --     0.0526   101.2801    2000    2000   432    16     0     8       -1
      --         --     0.0487   109.5350    2000    2000   432    16     0     8       -1

      --         --     0.0516   103.3539    2000    2000   440    16     0     8       -1
      --         --     0.0510   104.5603    2000    2000   440    16     0     8       -1
      --         --     0.0502   106.2344    2000    2000   440    16     0     8       -1

      --         --     0.0466   114.4924    2000    2000   448    16     0     8       -1
      --         --     0.0514   103.6918    2000    2000   448    16     0     8       -1
      --         --     0.0482   110.6705    2000    2000   448    16     0     8       -1

      --         --     0.0627    84.9991    2000    2000   456    16     0     8       -1
      --         --     0.0516   103.3183    2000    2000   456    16     0     8       -1
      --         --     0.0536    99.4879    2000    2000   456    16     0     8       -1

      --         --     0.0585    91.1885    2000    2000   464    16     0     8       -1
      --         --     0.0529   100.7557    2000    2000   464    16     0     8       -1
      --         --     0.0538    99.0488    2000    2000   464    16     0     8       -1

      --         --     0.0589    90.5162    2000    2000   472    16     0     8       -1
      --         --     0.0604    88.3262    2000    2000   472    16     0     8       -1
      --         --     0.0572    93.1446    2000    2000   472    16     0     8       -1

      --         --     0.0619    86.0926    2000    2000   480    16     0     8       -1
      --         --     0.0593    89.9163    2000    2000   480    16     0     8       -1
      --         --     0.0572    93.1754    2000    2000   480    16     0     8       -1

      --         --     0.0590    90.4158    2000    2000   488    16     0     8       -1
      --         --     0.0633    84.2748    2000    2000   488    16     0     8       -1
      --         --     0.0691    77.1430    2000    2000   488    16     0     8       -1

      --         --     0.0519   102.7720    2000    2000   496    16     0     8       -1
      --         --     0.0564    94.6035    2000    2000   496    16     0     8       -1
      --         --     0.0549    97.1874    2000    2000   496    16     0     8       -1

      --         --     0.0560    95.1649    2000    2000   504    16     0     8       -1
      --         --     0.0521   102.4123    2000    2000   504    16     0     8       -1
      --         --     0.0563    94.6446    2000    2000   504    16     0     8       -1

      --         --     0.0700   256.8983    3000    3000   128    16     0     8       -1
      --         --     0.0656   274.2618    3000    3000   128    16     0     8       -1
