
  Status      Error       Time    Gflop/s    uplo       n    nb  padA  zerocol
      --         --     0.0161   166.1995       l    2000   480     0       -1
      --         --     0.0162   165.1913       l    2000   480     0       -1
      --         --     0.0161   165.6951       l    2000   480     0       -1

      --         --     0.0167   159.8275       l    2000   488     0       -1
      --         --     0.0167   159.6360       l    2000   488     0       -1
      --         --     0.0167   159.3701       l    2000   488     0       -1

      --         --     0.0172   154.9489       l    2000   496     0       -1
      --         --     0.0172   155.3015       l    2000   496     0       -1
      --         --     0.0172   155.4914       l    2000   496     0       -1

      --         --     0.0175   152.6790       l    2000   504     0       -1
      --         --     0.0181   147.8411       l    2000   504     0       -1
      --         --     0.0178   149.7819       l    2000   504     0       -1

      --         --     0.0201   132.6570       l    2000   512     0       -1
      --         --     0.0182   146.7345       l    2000   512     0       -1
      --         --     0.0180   148.1346       l    2000   512     0       -1

      --         --     0.0175   152.1891       l    2000   520     0       -1
      --         --     0.0177   150.4503       l    2000   520     0       -1
      --         --     0.0179   148.9289       l    2000   520     0       -1

      --         --     0.0178   150.2887       l    2000   528     0       -1
      --         --     0.0194   137.7015       l    2000   528     0       -1
      --         --     0.0182   146.4044       l    2000   528     0       -1

      --         --     0.0184   145.2738       l    2000   536     0       -1
      --         --     0.0198   135.0531       l    2000   536     0       -1
      --         --     0.0195   136.6441       l    2000   536     0       -1

      --         --     0.0185   144.4619       l    2000   544     0       -1
      --         --     0.0203   131.3895       l    2000   544     0       -1
      --         --     0.0214   124.6973       l    2000   544     0       -1

      --         --     0.0188   141.9664       l    2000   552     0       -1
      --         --     0.0189   140.9315       l    2000   552     0       -1
      --         --     0.0189   141.2356       l    2000   552     0       -1

      --         --     0.0190   140.0884       l    2000   560     0       -1
      --         --     0.0190   140.7666       l    2000   560     0       -1
      --         --     0.0192   139.1099       l    2000   560     0       -1

      --         --     0.0197   135.3209       l    2000   568     0       -1
      --         --     0.0195   136.5058       l    2000   568     0       -1
      --         --     0.0195   136.7359       l    2000   568     0       -1

      --         --     0.0201   132.5784       l    2000   576     0       -1
      --         --     0.0203   131.5779       l    2000   576     0       -1
      --         --     0.0200   133.3190       l    2000   576     0       -1

      --         --     0.0204   130.9897       l    2000   584     0       -1
      --         --     0.0205   129.9329       l    2000   584     0       -1
      --         --     0.0204   130.9575       l    2000   584     0       -1

      --         --     0.5585    16.1227       l    3000    64     0       -1
      --         --     0.6691    13.4569       l    3000    64     0       -1
      --         --     0.8785    10.2500       l    3000    64     0       -1

      --         --     0.1034    87.0556       l    3000    72     0       -1
      --         --     0.1032    87.2157       l    3000    72     0       -1
      --         --     0.1020    88.2786       l    3000    72     0       -1

      --         --     0.1080    83.3912       l    3000    80     0       -1
      --         --     0.1059    85.0315       l    3000    80     0       -1
      --         --     0.1087    82.8381       l    3000    80     0       -1

      --         --     0.0546   165.0387       l    3000    88     0       -1
      --         --     0.0557   161.7159       l    3000    88     0       -1
      --         --     0.0567   158.8182       l    3000    88     0       -1

      --         --     0.1126    80.0044       l    3000    96     0       -1
      --         --     0.1143    78.7638       l    3000    96     0       -1
      --         --     0.1076    83.7154       l    3000    96     0       -1

      --         --     0.0347   259.3769       l    3000   104     0       -1
      --         --     0.0344   261.4092       l    3000   104     0       -1
      --         --     0.0353   254.9265       l    3000   104     0       -1

      --         --     0.0346   260.0269       l    3000   112     0       -1
      --         --     0.0359   250.5913       l    3000   112     0       -1
      --         --     0.0356   252.7868       l    3000   112     0       -1

      --         --     0.0246   365.9050       l    3000   120     0       -1
      --         --     0.0265   339.3713       l    3000   120     0       -1
      --         --     0.0263   342.0515       l    3000   120     0       -1

      --         --     0.0397   226.8257       l    3000   128     0       -1
      --         --     0.0395   228.2334       l    3000   128     0       -1
      --         --     0.0403   223.4426       l    3000   128     0       -1

      --         --     0.0219   410.9374       l    3000   136     0       -1
      --         --     0.0216   416.7967       l    3000   136     0       -1
      --         --     0.0217   415.3756       l    3000   136     0       -1

      --         --     0.0186   484.4548       l    3000   144     0       -1
      --         --     0.0187   482.8136       l    3000   144     0       -1
      --         --     0.0194   464.4377       l    3000   144     0       -1

      --         --     0.0166   542.7005       l    3000   152     0       -1
      --         --     0.0163   552.9341       l    3000   152     0       -1
      --         --     0.0158   570.0428       l    3000   152     0       -1

      --         --     0.0176   510.3180       l    3000   160     0       -1
      --         --     0.0181   498.7008       l    3000   160     0       -1
      --         --     0.0187   482.5299       l    3000   160     0       -1

      --         --     0.0143   631.1433       l    3000   168     0       -1
      --         --     0.0143   627.9322       l    3000   168     0       -1
      --         --     0.0143   631.2698       l    3000   168     0       -1

      --         --     0.0146   617.1683       l    3000   176     0       -1
      --         --     0.0144   626.6611       l    3000   176     0       -1
      --         --     0.0147   612.0078       l    3000   176     0       -1

      --         --     0.0153   587.3383       l    3000   184     0       -1
      --         --     0.0141   636.6329       l    3000   184     0       -1
      --         --     0.0147   611.6708       l    3000   184     0       -1

      --         --     0.0147   614.1774       l    3000   192     0       -1
