
  Status      Error       Time    Gflop/s    uplo       n    nb  padA  zerocol
      --         --     0.0355    75.2439       l    2000   520     0       -1

      --         --     0.0358    74.4838       l    2000   528     0       -1
      --         --     0.0360    74.1502       l    2000   528     0       -1
      --         --     0.0350    76.2672       l    2000   528     0       -1

      --         --     0.0375    71.2022       l    2000   536     0       -1
      --         --     0.0374    71.3702       l    2000   536     0       -1
      --         --     0.0369    72.4179       l    2000   536     0       -1

      --         --     0.0388    68.7944       l    2000   544     0       -1
      --         --     0.0381    70.0328       l    2000   544     0       -1
      --         --     0.0376    70.9450       l    2000   544     0       -1

      --         --     0.0375    71.2027       l    2000   552     0       -1
      --         --     0.0375    71.2271       l    2000   552     0       -1
      --         --     0.0370    72.0988       l    2000   552     0       -1

      --         --     0.0402    66.3584       l    2000   560     0       -1
      --         --     0.0394    67.8170       l    2000   560     0       -1
      --         --     0.0386    69.0883       l    2000   560     0       -1

      --         --     0.0398    67.0621       l    2000   568     0       -1
      --         --     0.0389    68.6245       l    2000   568     0       -1
      --         --     0.0406    65.7940       l    2000   568     0       -1

      --         --     0.0413    64.5804       l    2000   576     0       -1
      --         --     0.0391    68.1951       l    2000   576     0       -1
      --         --     0.0402    66.4131       l    2000   576     0       -1

      --         --     0.0426    62.6312       l    2000   584     0       -1
      --         --     0.0410    65.0673       l    2000   584     0       -1
      --         --     0.0424    62.9642       l    2000   584     0       -1

      --         --     0.9521     9.4574       l    3000    64     0       -1
      --         --     0.7239    12.4395       l    3000    64     0       -1
      --         --     0.6738    13.3630       l    3000    64     0       -1

      --         --     0.1321    68.1591       l    3000    72     0       -1
      --         --     0.1318    68.3297       l    3000    72     0       -1
      --         --     0.1313    68.5791       l    3000    72     0       -1

      --         --     0.1578    57.0718       l    3000    80     0       -1
      --         --     0.1559    57.7744       l    3000    80     0       -1
      --         --     0.1447    62.2460       l    3000    80     0       -1

      --         --     0.0646   139.4380       l    3000    88     0       -1
      --         --     0.0678   132.7961       l    3000    88     0       -1
      --         --     0.0679   132.5398       l    3000    88     0       -1

      --         --     0.1229    73.2449       l    3000    96     0       -1
      --         --     0.1245    72.3376       l    3000    96     0       -1
      --         --     0.1239    72.6468       l    3000    96     0       -1

      --         --     0.0379   237.4605       l    3000   104     0       -1
      --         --     0.0388   232.1461       l    3000   104     0       -1
      --         --     0.0388   232.0690       l    3000   104     0       -1

      --         --     0.0412   218.6993       l    3000   112     0       -1
      --         --     0.0437   206.1517       l    3000   112     0       -1
      --         --     0.0437   205.8741       l    3000   112     0       -1

      --         --     0.0280   321.6811       l    3000   120     0       -1
      --         --     0.0279   322.3373       l    3000   120     0       -1
      --         --     0.0286   314.8770       l    3000   120     0       -1

      --         --     0.0420   214.3670       l    3000   128     0       -1
      --         --     0.0415   217.1801       l    3000   128     0       -1
      --         --     0.0417   215.9507       l    3000   128     0       -1

      --         --     0.0275   327.4260       l    3000   136     0       -1
      --         --     0.0272   330.5381       l    3000   136     0       -1
      --         --     0.0270   333.7600       l    3000   136     0       -1

      --         --     0.0263   342.9117       l    3000   144     0       -1
      --         --     0.0266   339.0879       l    3000   144     0       -1
      --         --     0.0273   329.9432       l    3000   144     0       -1

      --         --     0.0280   321.3144       l    3000   152     0       -1
      --         --     0.0268   335.7509       l    3000   152     0       -1
      --         --     0.0268   335.7002       l    3000   152     0       -1

      --         --     0.0278   324.4166       l    3000   160     0       -1
      --         --     0.0271   331.9763       l    3000   160     0       -1
      --         --     0.0278   323.3307       l    3000   160     0       -1

      --         --     0.0273   330.1740       l    3000   168     0       -1
      --         --     0.0267   336.7448       l    3000   168     0       -1
      --         --     0.0268   335.9152       l    3000   168     0       -1

      --         --     0.0291   309.6366       l    3000   176     0       -1
      --         --     0.0279   322.9492       l    3000   176     0       -1
      --         --     0.0289   311.7143       l    3000   176     0       -1

      --         --     0.0287   314.1176       l    3000   184     0       -1
      --         --     0.0286   314.8849       l    3000   184     0       -1
      --         --     0.0299   301.1243       l    3000   184     0       -1

      --         --     0.0290   310.8318       l    3000   192     0       -1
      --         --     0.0292   308.2592       l    3000   192     0       -1
      --         --     0.0282   319.1261       l    3000   192     0       -1

      --         --     0.0278   324.1021       l    3000   200     0       -1
      --         --     0.0283   318.4614       l    3000   200     0       -1
      --         --     0.0286   315.1740       l    3000   200     0       -1

      --         --     0.0287   313.9531       l    3000   208     0       -1
      --         --     0.0293   307.0987       l    3000   208     0       -1
      --         --     0.0288   312.4182       l    3000   208     0       -1

      --         --     0.0292   308.0782       l    3000   216     0       -1
      --         --     0.0284   316.6909       l    3000   216     0       -1
      --         --     0.0289   311.1980       l    3000   216     0       -1

      --         --     0.0294   306.2346       l    3000   224     0       -1
      --         --     0.0310   290.5156       l    3000   224     0       -1
      --         --     0.0304   296.5608       l    3000   224     0       -1

      --         --     0.0291   308.9780       l    3000   232     0       -1
      --         --     0.0289   311.6397       l    3000   232     0       -1
      --         --     0.0277   325.0477       l    3000   232     0       -1

      --         --     0.0295   305.4248       l    3000   240     0       -1
      --         --     0.0296   304.2169       l    3000   240     0       -1
      --         --     0.0301   299.1826       l    3000   240     0       -1

      --         --     0.0304   296.0239       l    3000   248     0       -1
      --         --     0.0312   288.2364       l    3000   248     0       -1
      --         --     0.0293   307.0363       l    3000   248     0       -1

      --         --     0.0311   289.8334       l    3000   256     0       -1
      --         --     0.0320   281.0822       l    3000   256     0       -1
      --         --     0.0317   283.9286       l    3000   256     0       -1

      --         --     0.0296   304.6193       l    3000   264     0       -1
      --         --     0.0293   307.6240       l    3000   264     0       -1
      --         --     0.0308   292.7813       l    3000   264     0       -1

      --         --     0.0308   292.5703       l    3000   272     0       -1
      --         --     0.0310   290.3660       l    3000   272     0       -1
      --         --     0.0295   305.2693       l    3000   272     0       -1

      --         --     0.0323   278.4914       l    3000   280     0       -1
      --         --     0.0308   292.8199       l    3000   280     0       -1
      --         --     0.0315   285.7286       l    3000   280     0       -1

      --         --     0.0324   277.8399       l    3000   288     0       -1
      --         --     0.0316   285.3875       l    3000   288     0       -1
      --         --     0.0325   277.4297       l    3000   288     0       -1

      --         --     0.0335   268.8392       l    3000   296     0       -1
      --         --     0.0330   272.5349       l    3000   296     0       -1
      --         --     0.0329   273.9662       l    3000   296     0       -1

      --         --     0.0355   253.8760       l    3000   304     0       -1
      --         --     0.0359   250.5564       l    3000   304     0       -1
      --         --     0.0341   264.1775       l    3000   304     0       -1

      --         --     0.0356   253.0917       l    3000   312     0       -1
      --         --     0.0348   258.7585       l    3000   312     0       -1
      --         --     0.0346   260.4268       l    3000   312     0       -1

      --         --     0.0351   256.3993       l    3000   320     0       -1
      --         --     0.0349   257.6675       l    3000   320     0       -1
      --         --     0.0366   246.1666       l    3000   320     0       -1

      --         --     0.0372   242.2771       l    3000   328     0       -1
      --         --     0.0366   246.0367       l    3000   328     0       -1
      --         --     0.0372   241.8164       l    3000   328     0       -1

      --         --     0.0370   243.4045       l    3000   336     0       -1
      --         --     0.0377   239.0991       l    3000   336     0       -1
      --         --     0.0375   239.8629       l    3000   336     0       -1

      --         --     0.0388   232.2303       l    3000   344     0       -1
      --         --     0.0378   238.3536       l    3000   344     0       -1
      --         --     0.0390   231.0751       l    3000   344     0       -1

      --         --     0.0399   225.5133       l    3000   352     0       -1
      --         --     0.0395   228.0488       l    3000   352     0       -1
      --         --     0.0389   231.3767       l    3000   352     0       -1

