
  Status      Error       Time    Gflop/s       m       n    nb    ib  padA  mtpf  zerocol
      --         --     0.0522   102.2032    2000    2000   296    16     0     8       -1
      --         --     0.0501   106.4011    2000    2000   296    16     0     8       -1

      --         --     0.0564    94.4898    2000    2000   304    16     0     8       -1
      --         --     0.0600    88.8031    2000    2000   304    16     0     8       -1
      --         --     0.0541    98.5278    2000    2000   304    16     0     8       -1

      --         --     0.0579    92.0236    2000    2000   312    16     0     8       -1
      --         --     0.0540    98.6783    2000    2000   312    16     0     8       -1
      --         --     0.0534    99.8226    2000    2000   312    16     0     8       -1

      --         --     0.0617    86.3583    2000    2000   320    16     0     8       -1
      --         --     0.0581    91.8021    2000    2000   320    16     0     8       -1
      --         --     0.0595    89.6135    2000    2000   320    16     0     8       -1

      --         --     0.0596    89.4400    2000    2000   328    16     0     8       -1
      --         --     0.0579    92.0593    2000    2000   328    16     0     8       -1
      --         --     0.0586    90.9064    2000    2000   328    16     0     8       -1

      --         --     0.0611    87.3225    2000    2000   336    16     0     8       -1
      --         --     0.0714    74.6487    2000    2000   336    16     0     8       -1
      --         --     0.0624    85.4911    2000    2000   336    16     0     8       -1

      --         --     0.0569    93.6549    2000    2000   344    16     0     8       -1
      --         --     0.0593    89.9421    2000    2000   344    16     0     8       -1
      --         --     0.0642    83.0341    2000    2000   344    16     0     8       -1

      --         --     0.0680    78.4339    2000    2000   352    16     0     8       -1
      --         --     0.0644    82.7573    2000    2000   352    16     0     8       -1
      --         --     0.0604    88.2379    2000    2000   352    16     0     8       -1

      --         --     0.0642    83.0306    2000    2000   360    16     0     8       -1
      --         --     0.0606    88.0169    2000    2000   360    16     0     8       -1
      --         --     0.0582    91.6238    2000    2000   360    16     0     8       -1

      --         --     0.0639    83.4019    2000    2000   368    16     0     8       -1
      --         --     0.0627    85.0357    2000    2000   368    16     0     8       -1
      --         --     0.0621    85.8479    2000    2000   368    16     0     8       -1

      --         --     0.0666    80.1094    2000    2000   376    16     0     8       -1
      --         --     0.0634    84.0269    2000    2000   376    16     0     8       -1
      --         --     0.0651    81.9126    2000    2000   376    16     0     8       -1

      --         --     0.0731    72.8837    2000    2000   384    16     0     8       -1
      --         --     0.0720    74.0612    2000    2000   384    16     0     8       -1
      --         --     0.0700    76.1978    2000    2000   384    16     0     8       -1

      --         --     0.0693    76.9638    2000    2000   392    16     0     8       -1
      --         --     0.0766    69.5958    2000    2000   392    16     0     8       -1
      --         --     0.0704    75.7810    2000    2000   392    16     0     8       -1

      --         --     0.0664    80.2695    2000    2000   400    16     0     8       -1
      --         --     0.0798    66.8218    2000    2000   400    16     0     8       -1
      --         --     0.0659    80.9212    2000    2000   400    16     0     8       -1

      --         --     0.0653    81.6641    2000    2000   408    16     0     8       -1
      --         --     0.0734    72.6735    2000    2000   408    16     0     8       -1
      --         --     0.0728    73.2411    2000    2000   408    16     0     8       -1

      --         --     0.0775    68.8316    2000    2000   416    16     0     8       -1
      --         --     0.0755    70.5818    2000    2000   416    16     0     8       -1
      --         --     0.0718    74.2905    2000    2000   416    16     0     8       -1

      --         --     0.0703    75.8629    2000    2000   424    16     0     8       -1
      --         --     0.0692    77.0810    2000    2000   424    16     0     8       -1
      --         --     0.0766    69.6260    2000    2000   424    16     0     8       -1

      --         --     0.0804    66.3226    2000    2000   432    16     0     8       -1
      --         --     0.0693    76.8765    2000    2000   432    16     0     8       -1
      --         --     0.0776    68.7295    2000    2000   432    16     0     8       -1

      --         --     0.0771    69.1181    2000    2000   440    16     0     8       -1
      --         --     0.0714    74.6914    2000    2000   440    16     0     8       -1
      --         --     0.0728    73.2424    2000    2000   440    16     0     8       -1

      --         --     0.0785    67.9198    2000    2000   448    16     0     8       -1
      --         --     0.0743    71.7369    2000    2000   448    16     0     8       -1
      --         --     0.0741    71.9401    2000    2000   448    16     0     8       -1

      --         --     0.0740    71.9995    2000    2000   456    16     0     8       -1
      --         --     0.0788    67.6149    2000    2000   456    16     0     8       -1
      --         --     0.0747    71.3303    2000    2000   456    16     0     8       -1

      --         --     0.0801    66.5465    2000    2000   464    16     0     8       -1
      --         --     0.0775    68.8014    2000    2000   464    16     0     8       -1
      --         --     0.0786    67.8055    2000    2000   464    16     0     8       -1

      --         --     0.0803    66.4299    2000    2000   472    16     0     8       -1
      --         --     0.0907    58.8025    2000    2000   472    16     0     8       -1
      --         --     0.0854    62.4390    2000    2000   472    16     0     8       -1

      --         --     0.0906    58.8404    2000    2000   480    16     0     8       -1
      --         --     0.0791    67.4385    2000    2000   480    16     0     8       -1
      --         --     0.0859    62.0533    2000    2000   480    16     0     8       -1

      --         --     0.0942    56.5896    2000    2000   488    16     0     8       -1
      --         --     0.0903    59.0525    2000    2000   488    16     0     8       -1
      --         --     0.0960    55.5606    2000    2000   488    16     0     8       -1

      --         --     0.0958    55.6783    2000    2000   496    16     0     8       -1
      --         --     0.0847    62.9741    2000    2000   496    16     0     8       -1
      --         --     0.0950    56.1430    2000    2000   496    16     0     8       -1

      --         --     0.0841    63.3899    2000    2000   504    16     0     8       -1
      --         --     0.0873    61.0526    2000    2000   504    16     0     8       -1
      --         --     0.0812    65.6577    2000    2000   504    16     0     8       -1

      --         --     0.0958   187.7525    3000    3000   128    16     0     8       -1
      --         --     0.0934   192.6117    3000    3000   128    16     0     8       -1
      --         --     0.0906   198.6458    3000    3000   128    16     0     8       -1

      --         --     0.0882   204.0713    3000    3000   136    16     0     8       -1
      --         --     0.0883   203.7318    3000    3000   136    16     0     8       -1
      --         --     0.0874   206.0155    3000    3000   136    16     0     8       -1

